"","mean","hpdi_l","hpdi_u","age"
"PopDens[1]",0.201346497746857,0.146256621076765,0.252984425646296,7950
"PopDens[2]",0.202538810129918,0.127282789153293,0.284923709384141,7900
"PopDens[3]",0.207633391835982,0.11289429994466,0.30879911455451,7850
"PopDens[4]",0.227381047698105,0.112657127045616,0.35481065696893,7800
"PopDens[5]",0.262508371017472,0.116214720531267,0.419796031306823,7750
"PopDens[6]",0.27785517224023,0.115107913669065,0.457111234089651,7700
"PopDens[7]",0.281934486257148,0.110048225156139,0.478298679737529,7650
"PopDens[8]",0.298046741982238,0.10688591983556,0.513874614594039,7600
"PopDens[9]",0.308850055129523,0.106727804569531,0.536406040003162,7550
"PopDens[10]",0.309312075131104,0.104356075579097,0.545734840698869,7500
"PopDens[11]",0.289223762589928,0.0939204680211874,0.51371649932801,7450
"PopDens[12]",0.309541201913195,0.0951853901494189,0.555063641394577,7400
"PopDens[13]",0.327498545128732,0.092497430626927,0.589137481223812,7350
"PopDens[14]",0.346643400242443,0.097399003873824,0.637520752628666,7300
"PopDens[15]",0.377318807916304,0.0986639260020555,0.706142778085224,7250
"PopDens[16]",0.399055155717184,0.0945529290853032,0.748201438848921,7200
"PopDens[17]",0.435524347379239,0.101193770258518,0.834927662265792,7150
"PopDens[18]",0.434192139194139,0.101193770258518,0.834927662265792,7100
"PopDens[19]",0.419451355021477,0.098584868369041,0.802593090362875,7050
"PopDens[20]",0.433772444488365,0.0962921970116215,0.830500434816982,7000
"PopDens[21]",0.516807915144807,0.102379634753735,1.00940785832872,6950
"PopDens[22]",0.627596355443118,0.115107913669065,1.26207605344296,6900
"PopDens[23]",0.731508128890294,0.119535141117875,1.49229188078109,6850
"PopDens[24]",0.709686027854639,0.123329907502569,1.43489603921259,6800
"PopDens[25]",0.717741458138983,0.128705826547553,1.44359237884418,6750
"PopDens[26]",0.720391108783303,0.129022057079611,1.44359237884418,6700
"PopDens[27]",0.79950593019211,0.136611589849,1.60945529290853,6650
"PopDens[28]",0.856373446412101,0.151790655387778,1.72282393865128,6600
"PopDens[29]",0.910554145755923,0.162068147679658,1.83057949245,6550
"PopDens[30]",0.984968967454608,0.169973910981105,1.96948375365642,6500
"PopDens[31]",1.02650883756292,0.200015811526603,2.00411099691675,6450
"PopDens[32]",1.11867983729939,0.219147758716104,2.19226816349118,6400
"PopDens[33]",1.23503046319867,0.229109020475927,2.4355285002767,6350
"PopDens[34]",1.43317765633647,0.287769784172662,2.79476638469444,6300
"PopDens[35]",1.65377044454107,0.315835243892798,3.23630326508024,6250
"PopDens[36]",1.74353445044404,0.318286030516246,3.42714839117717,6200
"PopDens[37]",1.9191535453132,0.340896513558384,3.8213297493873,6150
"PopDens[38]",2.06998855748808,0.358605423353625,4.12396236856669,6100
"PopDens[39]",2.31052309747806,0.371412759901969,4.72764645426516,6050
"PopDens[40]",2.29504545379081,0.398450470392916,4.5967270139932,6000
"PopDens[41]",2.49876306878014,0.437583998735078,4.98750889398371,5950
"PopDens[42]",2.30843533965794,0.429994465965689,4.53980551822278,5900
"PopDens[43]",2.30276411529238,0.432603367855166,4.5224128389596,5850
"PopDens[44]",2.71793626618705,0.501541623843782,5.40303581310776,5800
"PopDens[45]",2.72209936782881,0.51743220807969,5.33639022847656,5750
"PopDens[46]",2.79107570674889,0.507708119218911,5.53585263657206,5700
"PopDens[47]",3.19416983563918,0.590323345719029,6.2661079927267,5650
"PopDens[48]",2.93619780188157,0.540279864020871,5.74717368961973,5600
"PopDens[49]",2.67901254352123,0.45213060320974,5.34445410704403,5550
"PopDens[50]",2.44245259430258,0.468653648509764,4.79033915724563,5500
"PopDens[51]",2.45800162521411,0.414499169894853,4.918017234564,5450
"PopDens[52]",2.93199909444752,0.421219068701083,6.131156613171,5400
"PopDens[53]",3.35889155274462,0.490157324689699,6.91169262392284,5350
"PopDens[54]",2.6094175732996,0.414103881729781,5.34690489366748,5300
"PopDens[55]",2.22028307528922,0.394655704008222,4.43189184915804,5250
"PopDens[56]",2.42416200769494,0.423353624792474,4.87880464858882,5200
"PopDens[57]",2.50272963069544,0.423195509526445,5.01660210293304,5150
"PopDens[58]",3.04685101233299,0.533480907581627,6.07636967349198,5100
"PopDens[59]",3.28122378243339,0.578148470234801,6.57474899201518,5050
"PopDens[60]",3.56564813835086,0.631670487785596,7.06585500830105,5000
"PopDens[61]",4.14814661791446,0.82180409518539,8.04869950193691,4950
