"","mean","hpdi_l","hpdi_u","age"
"PopDens[1]",0.206028890623765,0.154162384378212,0.25693730729702,7950
"PopDens[2]",0.206623621564287,0.138192742509289,0.284923709384141,7900
"PopDens[3]",0.210801908626945,0.12617598229109,0.3043718871057,7850
"PopDens[4]",0.22949284663478,0.122381215906396,0.339157245632066,7800
"PopDens[5]",0.263075952633498,0.131551901336074,0.399003873824018,7750
"PopDens[6]",0.276683653923015,0.13518855245474,0.431654676258993,7700
"PopDens[7]",0.276862214162736,0.127836192584394,0.444145782275279,7650
"PopDens[8]",0.291045137516361,0.123804253300656,0.469602340105937,7600
"PopDens[9]",0.302173728599538,0.132342477666219,0.49142224681793,7550
"PopDens[10]",0.301605539447563,0.127836192584394,0.491896592616017,7500
"PopDens[11]",0.281749472213438,0.118902680053759,0.461064115740375,7450
"PopDens[12]",0.299256592220729,0.125701636493003,0.495928531899755,7400
"PopDens[13]",0.315009079516607,0.127282789153293,0.522966242390703,7350
"PopDens[14]",0.330081113889108,0.127440904419322,0.555063641394577,7300
"PopDens[15]",0.356238072981175,0.128073365483437,0.608822831844415,7250
"PopDens[16]",0.374857477589357,0.127282789153293,0.642580441141592,7200
"PopDens[17]",0.406322383192347,0.134397976124595,0.713732310854613,7150
"PopDens[18]",0.404154340505617,0.13289588109732,0.704403510158906,7100
"PopDens[19]",0.390087307187217,0.135583840619812,0.674203494347379,7050
"PopDens[20]",0.402046117249058,0.135030437188711,0.691754288876591,7000
"PopDens[21]",0.475989337650759,0.147995889003083,0.844335520594513,6950
"PopDens[22]",0.574737076284028,0.162068147679658,1.05921416712784,6900
"PopDens[23]",0.667150246077863,0.173926792631829,1.25511898173769,6850
"PopDens[24]",0.647581617585053,0.176772867420349,1.19155664479405,6800
"PopDens[25]",0.654870878725591,0.184757688354811,1.18649695628113,6750
"PopDens[26]",0.656787252725292,0.189105858170606,1.17843307771365,6700
"PopDens[27]",0.727032188952135,0.208712151158194,1.31567712862677,6650
"PopDens[28]",0.778703941758681,0.23021582733813,1.39465570400822,6600
"PopDens[29]",0.827227004670989,0.255593327535774,1.48027512056289,6550
"PopDens[30]",0.894885038167268,0.278203810577911,1.58273381294964,6500
"PopDens[31]",0.939992445175728,0.347774527630643,1.58052019922524,6450
"PopDens[32]",1.02254190412505,0.378211716341213,1.72211241995415,6400
"PopDens[33]",1.12438870291679,0.402877697841727,1.91754288876591,6350
"PopDens[34]",1.32081166792939,0.52415210688592,2.17882836587873,6300
"PopDens[35]",1.51912593199067,0.584394023242944,2.52826310380267,6250
"PopDens[36]",1.59338839475672,0.599177800616649,2.68289983397897,6200
"PopDens[37]",1.74353937779447,0.615700845916673,2.98837852794687,6150
"PopDens[38]",1.87796493388805,0.657443276148312,3.22317969799984,6100
"PopDens[39]",2.07716956655555,0.645110285398055,3.73152027828287,6050
"PopDens[40]",2.07668480294885,0.719898806229741,3.57854375839987,6000
