"","mean","hpdi_l","hpdi_u","age"
"PopDens[89]",4.39769381039125,2.29583366274014,6.62313226342003,3550
"PopDens[90]",5.39683755469251,3.52375681872085,7.36817139694838,3500
"PopDens[91]",5.31442813644689,3.33812949640288,7.44114159222073,3450
"PopDens[92]",4.96792190947242,3.19258439402324,6.87801407225868,3400
"PopDens[93]",5.46535822274049,3.67459878251245,7.31393786070045,3350
"PopDens[94]",5.56826775218287,3.66803699897225,7.56581547948454,3300
"PopDens[95]",6.46674770739452,4.94552929085303,8.00063246106412,3250
"PopDens[96]",6.11539964964292,4.66321448335837,7.61799351727409,3200
"PopDens[97]",5.88088753185364,4.56549924895249,7.2114791683137,3150
"PopDens[98]",5.45723401983907,4.24926871689462,6.69444224839908,3100
"PopDens[99]",4.83793201411398,3.85998893193138,5.81879990513084,3050
