,Var1,Freq,dat_begin,dat_end,label
1,,2520,-10000,-1,Prähistorie
2,EBA,195,-2200,-1551,Frühbronzezeit
3,EN,223,-2750,-2201,Endneolithikum
4,LBA,669,-1300,-801,Spätbronzezeit
5,LN,250,-3500,-2751,Spätneolithikum
6,MBA,223,-1550,-1301,Mittelbronzezeit
7,MN,11,-5000,-4501,Mittelneolithikum
8,ON,11,-6000,-5001,Altneolithikum
9,UN,219,-4500,-3501,Jungneolithikum
