"","X","labnr","bp","std","site","lat","lng","db_source"
"36466",39450,"ARC-300",4260,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36467",39451,"ARC-302",4200,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36468",39452,"ARC-303",4610,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36469",39453,"ARC-304",4220,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36470",39454,"ARC-306",4140,60,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36471",39455,"ARC-308",4270,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36472",39456,"ARC-309",4380,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36473",39457,"ARC-681",4245,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36474",39458,"ARC-833",4415,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36475",39459,"ARC-834",4115,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36476",39460,"ARC-835",4360,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36477",39461,"ARC-836",4300,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36490",39474,"Lv-623",5280,110,"Thielle-Mottaz (Neuchatel)",47.0111,7.0294,"XRONOS"
"36493",39477,"B-2698",5200,90,"Twann",47.0942,7.157,"XRONOS"
"36494",39478,"B-2954",4570,70,"Twann",47.0942,7.157,"XRONOS"
"36495",39479,"B-2955",4660,90,"Twann",47.0942,7.157,"XRONOS"
"36496",39480,"B-2956",4650,90,"Twann",47.0942,7.157,"XRONOS"
"36497",39481,"B-2957",4790,70,"Twann",47.0942,7.157,"XRONOS"
"36498",39482,"B-2958",4790,120,"Twann",47.0942,7.157,"XRONOS"
"36499",39483,"B-2959",4870,60,"Twann",47.0942,7.157,"XRONOS"
"36500",39484,"B-2960",4880,70,"Twann",47.0942,7.157,"XRONOS"
"36501",39485,"B-2961",4960,70,"Twann",47.0942,7.157,"XRONOS"
"36502",39486,"B-2962",4990,70,"Twann",47.0942,7.157,"XRONOS"
"36503",39487,"B-2963",5120,130,"Twann",47.0942,7.157,"XRONOS"
"36504",39488,"B-2964",5090,120,"Twann",47.0942,7.157,"XRONOS"
"36505",39489,"B-2965",4950,50,"Twann",47.0942,7.157,"XRONOS"
"36506",39490,"B-3228",4530,60,"Twann",47.0942,7.157,"XRONOS"
"36507",39491,"B-3229",4500,80,"Twann",47.0942,7.157,"XRONOS"
"36508",39492,"B-3230",4600,80,"Twann",47.0942,7.157,"XRONOS"
"36509",39493,"B-3231",4490,90,"Twann",47.0942,7.157,"XRONOS"
"36510",39494,"B-3232",4770,70,"Twann",47.0942,7.157,"XRONOS"
"36511",39495,"B-3233",4720,90,"Twann",47.0942,7.157,"XRONOS"
"36512",39496,"UCLA-1847",4380,60,"Uetikon",47.2644,8.6792,"XRONOS"
"36513",39497,"B-659",5180,120,"Vallon des Vaux",46.738,6.8589,"XRONOS"
"36514",39498,"B-659A",5150,120,"Vallon des Vaux",46.738,6.8589,"XRONOS"
"36515",39499,"B-659B",5120,120,"Vallon des Vaux",46.738,6.8589,"XRONOS"
"36516",39500,"GrN-5601",4930,40,"Vallon des Vaux",46.738,6.8589,"XRONOS"
"36518",39502,"B-778",4170,250,"Vinelz",47.0326,7.1193,"XRONOS"
"36519",39503,"B-779",4460,120,"Vinelz",47.0326,7.1193,"XRONOS"
"36520",39504,"ETH-18999",3800,65,"Wädenswil",47.2268,8.6687,"XRONOS"
"36521",39505,"ETH-19000",3765,65,"Wädenswil",47.2268,8.6687,"XRONOS"
"36522",39506,"ETH-19001",3775,65,"Wädenswil",47.2268,8.6687,"XRONOS"
"36523",39507,"ETH-19002",3850,60,"Wädenswil",47.2268,8.6687,"XRONOS"
"36524",39508,"ETH-19003",4060,65,"Wädenswil",47.2268,8.6687,"XRONOS"
"36525",39509,"ETH-19471",3860,60,"Wädenswil",47.2268,8.6687,"XRONOS"
"36526",39510,"ETH-19472",3845,60,"Wädenswil",47.2268,8.6687,"XRONOS"
"36527",39511,"B-726",7080,130,"Wauwilermoos",47.1846,8.021,"XRONOS"
"36528",39512,"B-728",6980,90,"Wauwilermoos",47.1846,8.021,"XRONOS"
"36529",39513,"B-2197",4060,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36530",39514,"B-2198",4000,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36531",39515,"B-2199",4210,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36532",39516,"B-2200",3900,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36533",39517,"B-2201",4080,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36534",39518,"B-2202",3900,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36535",39519,"B-2203",4010,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36536",39520,"B-2204",4080,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36537",39521,"B-2205",4030,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36538",39522,"B-2206",4300,110,"Yverdon",46.7667,6.6333,"XRONOS"
"36539",39523,"B-2207",4100,120,"Yverdon",46.7667,6.6333,"XRONOS"
"36540",39524,"B-2208",4170,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36541",39525,"B-2209",4160,110,"Yverdon",46.7667,6.6333,"XRONOS"
"36542",39526,"B-2210",4140,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36543",39527,"B-2211",4320,110,"Yverdon",46.7667,6.6333,"XRONOS"
"36544",39528,"B-2212",4090,90,"Yverdon",46.7667,6.6333,"XRONOS"
"36545",39529,"B-2213",3970,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36546",39530,"B-2214",4260,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36547",39531,"B-2215",4300,100,"Yverdon",46.7667,6.6333,"XRONOS"
"36548",39532,"B-2216",4230,110,"Yverdon",46.7667,6.6333,"XRONOS"
"36549",39533,"B-2217",4200,110,"Yverdon",46.7667,6.6333,"XRONOS"
"36554",39538,"CRG-713",4425,71,"Zug - Schützenmatt",47.1723,8.5103,"XRONOS"
"36555",39539,"CRG-719",4863,73,"Zug - Schützenmatt",47.1723,8.5103,"XRONOS"
"36556",39540,"CRG-727",4325,69,"Zug - Schützenmatt",47.1723,8.5103,"XRONOS"
"36557",39541,"CRG-728",4256,65,"Zug - Schützenmatt",47.1723,8.5103,"XRONOS"
"36558",39542,"CRG-729",4164,74,"Zug - Schützenmatt",47.1723,8.5103,"XRONOS"
"36559",39543,"B-2929A",4180,60,"Zürich - AKAD/Pressehaus",47.364,8.548,"XRONOS"
"36560",39544,"GrN-7803",4170,50,"Zürich - AKAD/Pressehaus",47.364,8.548,"XRONOS"
"36561",39545,"B-4431",5200,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36562",39546,"B-4432",5090,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36563",39547,"B-4433",5150,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36564",39548,"B-4434",5090,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36565",39549,"B-4435",5320,60,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36566",39550,"B-4436",5310,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36567",39551,"B-4437",5310,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36568",39552,"B-4438",5370,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36569",39553,"B-4439",5240,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36570",39554,"B-4440",5490,50,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36571",39555,"B-4441",5130,80,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36572",39556,"B-4442",5550,70,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36573",39557,"B-4526",5070,40,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36574",39558,"B-4527",5480,60,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36575",39559,"B-4528",5480,60,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36576",39560,"ETH-X1",7460,80,"Zürich - Mozartstrasse (Off-Site)",47.3686,8.5389,"XRONOS"
"36577",39561,"ETH-X2",7070,80,"Zürich - Mozartstrasse (Off-Site)",47.3686,8.5389,"XRONOS"
"36578",39562,"ETH-X3",6570,80,"Zürich - Mozartstrasse (Off-Site)",47.3686,8.5389,"XRONOS"
"36579",39563,"ETH-X4",6240,80,"Zürich - Mozartstrasse (Off-Site)",47.3686,8.5389,"XRONOS"
"36580",39564,"ETH-X5",5865,80,"Zürich - Mozartstrasse (Off-Site)",47.3686,8.5389,"XRONOS"
"36581",39565,"GrN-6904",4185,45,"Zürich, Utoquai",47.3653,8.5456,"XRONOS"
"36582",39566,"UCLA-1765A",4930,70,"Zürich-Bauschanze",47.3678,8.5424,"XRONOS"
"36583",39567,"UCLA-1765B",5040,60,"Zürich-Bauschanze",47.3678,8.5424,"XRONOS"
"36584",39568,"ETH-8146",3695,60,"Zürich, Dufourstrasse",47.3595,8.5517,"XRONOS"
"36585",39569,"ETH-8147",5030,60,"Zürich, Dufourstrasse",47.3595,8.5517,"XRONOS"
"36586",39570,"ETH-8152",4960,65,"Zürich, Dufourstrasse",47.3595,8.5517,"XRONOS"
"36587",39571,"UCLA-1722C",4640,70,"Zürich - Grosser Hafner",47.3629,8.543,"XRONOS"
"36588",39572,"UCLA-1772B",5145,70,"Zürich - Grosser Hafner",47.3629,8.543,"XRONOS"
"36589",39573,"UCLA-1654A",4800,100,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36590",39574,"UCLA-1654B",4060,100,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36591",39575,"UCLA-1764A",4690,60,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36592",39576,"UCLA-1764B",4350,60,"Zürich, Kleine Hafner",47.3661,8.5442,"XRONOS"
"36593",39577,"ETH-7763",4930,60,"Zürich, Mozartstrasse",47.3648,8.5463,"XRONOS"
"36594",39578,"ETH-7764",4640,60,"Zürich, Mozartstrasse",47.3648,8.5463,"XRONOS"
"36595",39579,"ETH-10182",7885,80,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36596",39580,"ETH-10183",7570,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36597",39581,"ETH-10184",7540,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36598",39582,"ETH-10185",7775,70,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36599",39583,"ETH-10186",7560,80,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36600",39584,"ETH-10187",6400,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36601",39585,"ETH-10188",6270,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36602",39586,"ETH-10319",7975,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36603",39587,"ETH-10320",7600,130,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36604",39588,"ETH-10321",7600,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36605",39589,"ETH-10322",6495,70,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36606",39590,"ETH-10323",6205,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36607",39591,"ETH-10324",6045,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36608",39592,"ETH-11491",5790,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36609",39593,"ETH-11492",6060,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36610",39594,"ETH-11493",5670,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36611",39595,"ETH-11494",5975,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36612",39596,"ETH-11495",6570,75,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36613",39597,"ETH-11496",6425,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36614",39598,"ETH-11498",5040,60,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36615",39599,"ETH-11499",6410,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36616",39600,"ETH-11500",6265,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36617",39601,"ETH-11501",6010,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36618",39602,"ETH-11502",6275,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36619",39603,"ETH-11503",5950,65,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36620",39604,"ETH-11504",6665,95,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36621",39605,"ETH-11505",5855,60,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36622",39606,"ETH-11506",6605,80,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36623",39607,"ETH-11507",1085,50,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36624",39608,"ETH-1497",5835,80,"Zürich, Wallisellen-Langachermoos",47.4157,8.5952,"XRONOS"
"36625",39609,"GrN-7021",4160,40,"Zürich, Wollishofen",47.344,8.5301,"XRONOS"
"36626",39610,"UCLA-1785",5320,60,"Zürich, Wollishofen",47.344,8.5301,"XRONOS"
"36743",39727,"Lv-608?",4290,130,"Delley-Portalban",46.9125,6.962,"XRONOS"
"37711",40719,"Lv-608",4290,130,"Delley-Portalban",46.9125,6.962,"XRONOS"
"38058",41068,"ARC-?",2626,116,"Payerne VD, route de Bussy",46.827,6.9149,"XRONOS"
"39630",42699,"LJ-???",5060,35,"43",47.1704120091817,7.67341993819581,"Laabs"
"39631",42719,"ARC-493",2485,50,"67",46.8967031585112,7.05542700649236,"Laabs"
"39632",42720,"ARC-175",2460,60,"67",46.8967031585112,7.05542700649236,"Laabs"
"39633",42722,"B-???",4090,80,"86",46.9765367831205,7.09494526969671,"Laabs"
"39634",42729,"ETH-19819",2495,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39635",42730,"ETH-13109",2880,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39636",42731,"ETH-19815",2540,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39637",42732,"ETH-20573",2935,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39638",42733,"ETH-18710",3945,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39639",42734,"ETH-21672",3755,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39640",42735,"ETH-21673",3645,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39641",42736,"ETH-19818",3570,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39642",42737,"ETH-19832",3710,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39643",42738,"ETH-19823",3655,50,"135",46.9223315889642,6.80929887017242,"Laabs"
"39644",42739,"ETH-19817",3610,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39645",42740,"ETH-20051",3765,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39646",42741,"ETH-19822",3785,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39647",42742,"ETH-20049",3750,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39648",42743,"ETH-20050",3685,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39649",42744,"ETH-20047",3745,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39650",42745,"ETH-20048",3660,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39651",42746,"ETH-21401",3665,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39652",42747,"ETH-20046",3870,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39653",42748,"ETH-19422",3955,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39654",42749,"ETH-21400",3725,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39655",42750,"ETH-19019",4365,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39656",42751,"ETH-19421",3835,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39657",42752,"ETH-19017",4055,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39658",42753,"ETH-19018",4075,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39659",42754,"ETH-19012",4020,70,"135",46.9223315889642,6.80929887017242,"Laabs"
"39660",42755,"ETH-19013",4165,70,"135",46.9223315889642,6.80929887017242,"Laabs"
"39661",42756,"ETH-18488",4005,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39662",42757,"ETH-19011",4190,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39663",42758,"ETH-18486",4255,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39664",42759,"ETH-18487",4280,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39665",42760,"ETH-21403",5350,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39666",42761,"ETH-21674",5505,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39667",42762,"ETH-21399",5125,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39668",42763,"ETH-21402",5345,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39669",42764,"ETH-21397",5245,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39670",42765,"ETH-21398",5100,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39671",42766,"ETH-21395",5300,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39672",42767,"ETH-21396",5240,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39673",42768,"ETH-21386",5385,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39674",42769,"ETH-21394",5225,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39675",42770,"ETH-21384",5015,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39676",42771,"ETH-21385",5220,55,"135",46.9223315889642,6.80929887017242,"Laabs"
"39677",42772,"ETH-21382",5130,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39678",42773,"ETH-21383",4970,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39679",42774,"ETH-21380",5230,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39680",42775,"ETH-21381",5140,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39681",42776,"ETH-20053",4980,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39682",42777,"ETH-21379",5300,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39683",42778,"ETH-20045",5245,70,"135",46.9223315889642,6.80929887017242,"Laabs"
"39684",42779,"ETH-20052",5115,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39685",42780,"ETH-19834",5505,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39686",42781,"ETH-20044",5100,70,"135",46.9223315889642,6.80929887017242,"Laabs"
"39687",42782,"ETH-19831",5560,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39688",42783,"ETH-19833",5485,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39689",42784,"ETH-19829",5275,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39690",42785,"ETH-19830",5450,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39691",42786,"ETH-19827",5285,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39692",42787,"ETH-19828",5205,50,"135",46.9223315889642,6.80929887017242,"Laabs"
"39693",42788,"ETH-19825",5270,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39694",42789,"ETH-19826",5490,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39695",42790,"ETH-19821",5335,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39696",42791,"ETH-19824",5305,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39697",42792,"ETH-19814",5225,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39698",42793,"ETH-19820",5170,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39699",42794,"ETH-19811",5265,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39700",42795,"ETH-19813",5025,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39701",42796,"ETH-19809",5450,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39702",42797,"ETH-19810",5055,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39703",42798,"ETH-19434",5425,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39704",42799,"ETH-19435",5340,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39705",42800,"ETH-19432",5275,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39706",42801,"ETH-19433",5330,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39707",42802,"ETH-19430",5445,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39708",42803,"ETH-19431",5400,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39709",42804,"ETH-19425",5140,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39710",42805,"ETH-19427",5085,60,"135",46.9223315889642,6.80929887017242,"Laabs"
"39711",42806,"ETH-19419",5615,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39712",42807,"ETH-19420",5625,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39713",42808,"ETH-19024",5300,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39714",42809,"ETH-19025",5385,70,"135",46.9223315889642,6.80929887017242,"Laabs"
"39715",42810,"ETH-19022",5630,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39716",42811,"ETH-19023",5105,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39717",42812,"ETH-19020",5070,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39718",42813,"ETH-19021",5605,70,"135",46.9223315889642,6.80929887017242,"Laabs"
"39719",42814,"ETH-19014",5360,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39720",42815,"ETH-19015",5355,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39721",42816,"ETH-18484",5355,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39722",42817,"ETH-18485",5185,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39723",42818,"ETH-18482",5105,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39724",42819,"ETH-18483",5095,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39725",42820,"ETH-18480",5010,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39726",42821,"ETH-18481",5165,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39727",42822,"ETH-18479",6285,65,"135",46.9223315889642,6.80929887017242,"Laabs"
"39728",42823,"ARC-97",2980,40,"176",46.8333598161025,6.67727876471011,"Laabs"
"39729",42824,"UA-20074",4810,50,"210",46.6190301043282,7.04434441971021,"Laabs"
"39730",42825,"UA-20068",3425,45,"211",46.6307305378469,7.0456954011112,"Laabs"
"39731",42826,"UA-20069",3550,45,"212",46.6270797048747,7.04363255735802,"Laabs"
"39732",42827,"UA-40407",2435,30,"215",46.6321893892333,7.06475294540114,"Laabs"
"39733",42828,"UA-24629",2950,40,"215",46.6321893892333,7.06475294540114,"Laabs"
"39734",42829,"UA-40408",3341,58,"215",46.6321893892333,7.06475294540114,"Laabs"
"39735",42830,"ETH-14944",4575,55,"229",46.8239136622684,6.82683554122256,"Laabs"
"39736",42832,"UA-17889",3235,70,"230",46.8177466968901,6.81773177857237,"Laabs"
"39737",42833,"UA-17891",3195,70,"230",46.8177466968901,6.81773177857237,"Laabs"
"39738",42834,"UA-17890",3275,70,"230",46.8177466968901,6.81773177857237,"Laabs"
"39739",42835,"UA-16459",5280,75,"231",46.8178780695757,6.8170749749391,"Laabs"
"39740",42836,"UA-12517",4990,75,"231",46.8178780695757,6.8170749749391,"Laabs"
"39743",42840,"B-659b",5120,120,"250",46.7770550989976,6.76555639437523,"Laabs"
"39744",42843,"Ua-24093",2750,45,"2385",46.7382689425746,7.11138686432987,"Laabs"
"39745",42844,"UA-14544",3340,65,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39746",42845,"UA-14545",3195,60,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39747",42846,"UA-14542",3175,55,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39748",42847,"UA-14541",3200,55,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39749",42848,"UA-14540",3135,55,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39750",42849,"UA-14546",2985,125,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39751",42850,"UA-16599",2920,70,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39752",42851,"UA-16598",2910,65,"1020",46.6406034465237,6.87006300963222,"Laabs"
"39753",42852,"AA-23168",4445,50,"1169",46.8336062702244,6.87457484372258,"Laabs"
"39754",42853,"UA-39261",2648,33,"1324",46.877799749976,6.95755486708774,"Laabs"
"39755",42854,"UA-24092",2675,40,"35",46.7468517501013,7.12416097351775,"Laabs"
"39757",42856,"UA-11484",5520,75,"226",46.8275877735847,6.9045242523043,"Laabs"
"39758",42857,"UA-13913",4975,60,"226",46.8275877735847,6.9045242523043,"Laabs"
"39759",42858,"UA-19572",5465,70,"2495",46.8579459055346,7.19197049769396,"Laabs"
"39760",42859,"UA-11448",4550,65,"495",46.8251990355607,6.83167067359106,"Laabs"
"39761",42860,"UA-23351",2695,45,"502",46.8852208697013,6.88767924935237,"Laabs"
"39762",42866,"ETH-44202",3925,35,"80",47.484526454928,8.28952260363072,"Laabs"
"39764",42872,"UA-36442",4925,40,"616",46.9464378342988,7.07832334966982,"Laabs"
"39771",42879,"ETH-31458",3820,55,"956",46.8486763477166,6.69148645419239,"Laabs"
"39772",42880,"ETH-55672",3384,30,"1246",47.3956350014125,7.97175344784846,"Laabs"
"39773",42881,"ETH-55670",3316,30,"1246",47.3956350014125,7.97175344784846,"Laabs"
"39774",42882,"ETH-55671",3271,29,"1246",47.3956350014125,7.97175344784846,"Laabs"
"39775",42883,"ETH-55669",3284,30,"1246",47.3956350014125,7.97175344784846,"Laabs"
"39776",42884,"ETH-43549",3410,35,"657",46.9191162438068,7.46623723157185,"Laabs"
"39789",42898,"ETH-9881",4905,60,"862",46.9185584256292,7.12735437640287,"Laabs"
"39790",42901,"ETH-15181",3325,55,"1236",46.7132805848999,7.63723363266911,"Laabs"
"39791",42902,"ETH-15180",3475,55,"1236",46.7132805848999,7.63723363266911,"Laabs"
"39792",42903,"ETH-15179",3455,55,"1236",46.7132805848999,7.63723363266911,"Laabs"
"39793",42904,"ETH-15186",3385,55,"1291",46.738182897351,7.59687625016321,"Laabs"
"39794",42908,"ETH-11312",5325,70,"378",46.9072709590711,7.09696481942744,"Laabs"
"39795",42909,"UA-19289",2865,35,"379",46.9060016116767,7.09369118306678,"Laabs"
"39796",42910,"UA-19280",4885,80,"379",46.9060016116767,7.09369118306678,"Laabs"
"39797",42911,"ETH-11318",5240,65,"379",46.9060016116767,7.09369118306678,"Laabs"
"39798",42912,"UTC-8887",4701,45,"389",46.7714509050995,6.68928530186924,"Laabs"
