"","X","labnr","bp","std","site","lat","lng","db_source"
"36072",39050,"ETH-9648",3975,80,"Aesch/Clus/Tschäpperli",47.4658,7.5651,"XRONOS"
"36075",39053,"ARC-1006",3835,55,"Alle, Noir Bois",47.4284,7.1262,"XRONOS"
"36076",39054,"B-6202",4900,80,"Alle - Noir Bois",47.4172,7.1122,"XRONOS"
"36077",39055,"B-6203",4650,160,"Alle - Noir Bois",47.4172,7.1122,"XRONOS"
"36088",39066,"B-4351",6340,80,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36089",39067,"ETH-9649",6165,85,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36090",39068,"ETH-9650",6350,80,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36091",39069,"ETH-9651",4570,75,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36092",39070,"ETH-9652",6125,80,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36093",39071,"ETH-9653",4490,75,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36094",39072,"ETH-9654",4480,75,"Arlesheim, Birseck-Ermitage",47.4954,7.6283,"XRONOS"
"36095",39073,"B-643",4160,120,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36096",39074,"B-644",4000,150,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36097",39075,"B-645",4180,120,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36098",39076,"B-646",3960,120,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36099",39077,"B-685",4000,120,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36100",39078,"B-686",4160,100,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36101",39079,"B-687",3990,100,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36102",39080,"B-688",4140,140,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36103",39081,"B-689",4130,100,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36104",39082,"LJ-1765",4103,70,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36105",39083,"LJ-1774",4129,70,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36106",39084,"LJ-1806",4191,70,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
