,ID_site,ID_external,state,federal_state,community,cadastral_section,site_type_1,site_type_2,dat_type,chrono_very_rough,chrono_rough,chrono_complex,LV03_Hochwert_fuzzy,LV03_Rechtswert_fuzzy
4065,4327,,CH,Fribourg,Barberêche,Katenstieg,single find,single find STONE AXE,typological,neolithic,,,189817,578157
4066,4328,,CH,Fribourg,Bas-Vully,Le Petit-Ban,depot,depot (>1),typological,neolithic,,,202615,575738
4067,4329,,CH,Fribourg,Bas-Vully,Nant,settlement,settlement lakeshore,typological,prehistoric,,,201184,575063
4068,4330,,CH,Fribourg,Bas-Vully,Fin de Port/Point II,single find,stray findings (>1),typological,neolithic,,,202632,573822
4069,4331,,CH,Fribourg,Bas-Vully,Cugnet,single find,single find,typological,bronze age,LBA,,203385,574270
4070,4332,,CH,Fribourg,Bas-Vully,Sous Chaumont II-IV,single find,stray findings (>1),typological,bronze age,,,202855,574263
4071,4333,,CH,Fribourg,Bas-Vully,Fin de Port/Point I,single find,stray findings (>1),typological,bronze age,,,202607,574790
4072,4334,,CH,Fribourg,Bas-Vully,Plan Châtel,single find,single find STONE AXE,typological,neolithic,,,201809,574514
4073,4335,,CH,Fribourg,Bas-Vully,Plan Châtel,single find,stray findings (>1),typological,bronze age,,,201864,574578
4074,4336,2295,CH,Fribourg,Bösingen,Cyrusmatte,single find,single find STONE AXE,typological,neolithic,,,194120,584068
4075,4337,,CH,Fribourg,Bösingen,Niederbösingen,single find,single find STONE AXE,typological,neolithic,,,194683,584754
4076,4338,,CH,Fribourg,Bösingen,Weide bei der Kirche,single find,single find,typological,bronze age,EBA,,193843,585009
4077,4339,,CH,Fribourg,Bösingen,Bergacker,single find,single find,typological,bronze age,LBA,,193947,584932
4078,4340,,CH,Fribourg,Bösingen,Fendringen,single find,single find,typological,bronze age,,,192984,585046
4079,4341,,CH,Fribourg,Bollion,Palury,single find,stray findings (>1),typological,bronze age,,,184799,553011
4080,4342,,CH,Fribourg,Broc,undef.,single find,stray findings (>1),typological,bronze age,LBA,,161873,574201
4081,4343,,CH,Fribourg,Büchseln,See,burial place,grave single,typological,bronze age,,,199741,580871
4082,4344,,CH,Fribourg,Chapelle,Coumin,single find,single find STONE AXE,typological,neolithic,,,179103,556121
4083,4345,,CH,Fribourg,Châtillon,Champ de la Pierre,single find,single find,typological,neolithic,,,187223,553515
