,ID_site,ID_external,state,federal_state,community,cadastral_section,site_type_1,site_type_2,dat_type,chrono_very_rough,chrono_rough,chrono_complex,LV03_Hochwert_fuzzy,LV03_Rechtswert_fuzzy
1,1,001.000. \ 11060,CH,Bern,Aarberg,Bargenfeld,single find,single find,typological,bronze age,MBA,,210738,587911
2,2,013.005. \ 10983,CH,Bern,Aarwangen,Zopfe,single find,stray findings (>1),typological,neolithic,,,231218,624642
3,3,,CH,Bern,Aegerten,Jensberg,single find,single find,typological,bronze age,LBA,HaA,219665,588803
4,6,,CH,Solothurn,Aeschi,Burgäschi-Nordwest,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,225369,617889
5,7,255/300.1 \,CH,Vaud,Agiez,La Tuffière,single find,single find STONE AXE,typological,neolithic,,,175197,529785
6,8,255/300.2 \,CH,Vaud,Agiez,undef.,single find,single find,typological,bronze age,,,174982,529093
7,9,1/299.7 \,CH,Vaud,Aigle,Les Afforets,burial place,grave group (>1<10),typological,bronze age,,,130990,567305
8,10,1/300.1 \,CH,Vaud,Aigle,En Goliez,single find,stray findings (>1),typological,bronze age,LBA,,129971,565550
9,11,1/300.11 \,CH,Vaud,Aigle,Claveleyres,single find,single find,NA,bronze age,,,130382,565135
10,12,1/300.12 \,CH,Vaud,Aigle,undef.,single find,stray findings (>1),typological,bronze age,,,130358,564017
11,13,1/304.0 \,CH,Vaud,Aigle,Pré Bacon; les Sablettes,burial place,grave group (>1<10),typological,bronze age,,,130550,566405
12,14,1/305.0 \,CH,Vaud,Aigle,Les Grands Champs; sur Fontaney,burial place,stone cist group (>1<10),typological,bronze age,EBA,BzA2,130035,565914
13,15,1/308.0 \,CH,Vaud,Aigle,En Verschiez,burial place,stone cist group (>1<10),typological,bronze age,,,129558,565007
14,16,1/311.0 \,CH,Vaud,Aigle,Plan d'Essert,burial place,stone cist group (>1<10),typological,bronze age,EBA,BzA2,130573,564499
15,17,,CH,Vaud,Aigle,undef.,single find,single find,typological,bronze age,EBA,BzA2,130024,563669
16,18,,CH,Vaud,Aigle,undef.,burial place,grave group (>1<10),typological,neolithic,,,130412,563547
17,19,,CH,Genève,Aïre,Iles d'Aïre,single find,single find,typological,bronze age,MBA,BzB,118412,498571
18,20,326/301.1 \,CH,Vaud,Allaman,En Verex; Chemin du Lac,burial place,grave group (>1<10),14-C,neolithic,UN,Cortaillod,147207,579963
19,25,,CH,Bern,Allmendingen,Gümligenweg,settlement,settlement mineral soil,14-C,bronze age,EBA,BzA2,196459,607030
20,26,,CH,Bern,Allmendingen,Kienermätteli,settlement,settlement mineral soil,14-C,bronze age,LBA,HaB,196649,607155
21,30,,CH,Bern,Alterswil,Bennewil,burial place,grave single,typological,bronze age,LBA,BzD,198406,617507
22,31,430.001.1/2 \ 13034/5,CH,Bern,Amsoldingen,Bürgli Grab,burial place,barrow group (>1<10),typological,bronze age,EBA,BzA2,174912,612991
23,32,430.003. \ 12540,CH,Bern,Amsoldingen,Waldweid,burial place,grave single,typological,bronze age,EBA,BzA2,175025,612847
24,33,GE-016 \,CH,Genève,Anières,Bassy I,settlement,settlement lakeshore,typological,bronze age,LBA,,127445,506890
25,34,GE-017 \,CH,Genève,Anières,Bassy II,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,126831,507486
26,35,,CH,Fribourg,Arconciel,Pré de l'Arche,settlement,settlement mineral soil,14-C,bronze age,LBA,HaB,177735,576247
27,36,,CH,Fribourg,Arconciel,Sous les Châteux; abris 1 et 2,settlement,settlement abri/cave,typological,neolithic,,,177292,575465
28,36,,CH,Fribourg,Arconciel,Sous les Châteux; abris 1 et 2,settlement,settlement abri/cave,14-C,bronze age,LBA,HaB,177391,574806
29,37,,CH,Fribourg,Arconciel,sur le bords de la Sarine,single find,single find,typological,bronze age,LBA,BzD,178254,576589
30,38,,CH,Fribourg,Arconciel,Pré de Villars,single find,single find,typological,bronze age,LBA,BzD,178559,576290
31,41,256/302.0 \,CH,Vaud,Arnex-sur-Orbe,Combettaz,settlement,settlement abri/cave,typological,neolithic,,,172488,529477
32,42,,CH,Solothurn,Burgäschi,Burgäschisee-Nord,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,224917,617781
33,42,,CH,Solothurn,Burgäschi,Burgäschisee-Nord,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,224663,618146
34,43,,CH,Solothurn,Burgäschi,Burgäschisee-Ost,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,224904,618347
35,43,,CH,Solothurn,Burgäschi,Burgäschisee-Ost,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,224388,618496
36,45,,CH,Bern,Attiswil,Leimenstrasse 15,settlement,settlement mineral soil,14-C,bronze age,LBA,BzD,233146,612970
37,46,,CH,Bern,Attiswil,Wiesenweg 15/17,settlement,settlement mineral soil,14-C,neolithic,,,233329,613566
38,46,,CH,Bern,Attiswil,Wiesenweg 15/17,settlement,settlement mineral soil,14-C,bronze age,LBA,HaA|B,233516,613702
39,47,17/300.4 \,CH,Vaud,Aubonne,Taillaz des Huguets,single find,single find,typological,bronze age,LBA,HaB,150682,520180
40,48,,CH,Vaud,Aumont,Bois de Verdières,single find,single find,typological,bronze age,EBA,BzA2,181900,555529
41,48,,CH,Vaud,Aumont,Bois de Verdières,single find,single find,typological,bronze age,MBA,,181618,555025
42,49,17/304.1 \,CH,Vaud,Aubonne,En Trévelin; en Esspens,depot,depot (>1),typological,bronze age,LBA,BzD|HaA,149733,519645
43,50,64(A)6,CH,Aargau,Auenstein,Bündtenweg,settlement,settlement mineral soil,typological,bronze age,MBA,,252289,653604
44,52,,CH,Fribourg,Autavaux,La Crasaz 1,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,191546,556844
45,52,,CH,Fribourg,Autavaux,La Crasaz 1,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,191019,556714
46,53,,CH,Fribourg,Autavaux,La Crasaz 2,settlement,settlement lakeshore,dendro,bronze age,LBA,HaA,191439,556494
47,53,,CH,Fribourg,Autavaux,La Crasaz 2,settlement,settlement lakeshore,dendro,bronze age,LBA,BzD,191202,556861
48,56,,CH,Neuchâtel,Auvernier,Brena I,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,203346,557211
49,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202973,558155
50,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203187,557656
51,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203012,557706
52,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203138,557595
53,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202934,557622
54,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203273,557391
55,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro & 14-C,neolithic,EN,AC/SK,202972,557412
56,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202546,557542
57,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203034,557678
58,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203295,557222
59,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202707,557194
60,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203205,557815
61,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203173,557178
62,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203140,557637
63,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203068,557719
64,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203079,557066
65,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202540,557462
66,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203043,557840
67,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202711,557156
68,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203165,557400
69,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203320,557351
70,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202902,557469
71,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203277,556969
72,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202926,557053
73,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202531,557009
74,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202813,557352
75,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,UN,Cortaillod,203209,557810
76,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,UN,Cortaillod,202596,557222
77,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,203761,558328
78,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203173,557805
79,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203179,558297
80,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203131,557748
81,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203720,557824
82,60,,CH,Neuchâtel,Auvernier,Les Abbesses,settlement,settlement lakeshore,typological,bronze age,LBA,,203415,557566
83,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,bronze age,EBA,BzA2,202898,557893
84,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202713,558061
85,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203168,557780
86,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202716,557986
87,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203401,557398
88,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,bronze age,LBA,,203253,557982
89,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203290,557901
90,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202958,557358
91,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,203385,557345
92,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,203200,557529
93,62,,CH,Neuchâtel,Auvernier,Les Ténevières,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202990,558340
94,62,,CH,Neuchâtel,Auvernier,Les Ténevières,settlement,settlement lakeshore,typological,bronze age,EBA,BzA2,203110,557985
95,62,,CH,Neuchâtel,Auvernier,Les Ténevières,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203795,558375
96,62,,CH,Neuchâtel,Auvernier,Les Ténevières,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203200,557843
97,62,,CH,Neuchâtel,Auvernier,Les Ténevières,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203339,557873
98,63,,CH,Neuchâtel,Auvernier,Nord,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,203234,557636
99,64,,CH,Neuchâtel,Auvernier,Ruz-Chatru,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203546,557798
100,64,,CH,Neuchâtel,Auvernier,Ruz-Chatru,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203288,558096
101,64,,CH,Neuchâtel,Auvernier,Ruz-Chatru,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202948,557914
102,65,,CH,Neuchâtel,Auvernier,Tranchée Tram,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202984,557765
103,65,,CH,Neuchâtel,Auvernier,Tranchée Tram,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203394,557579
104,65,,CH,Neuchâtel,Auvernier,Tranchée Tram,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,203284,557839
105,65,,CH,Neuchâtel,Auvernier,Tranchée Tram,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,203128,557751
106,65,,CH,Neuchâtel,Auvernier,Tranchée Tram,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,202771,557331
107,65,,CH,Neuchâtel,Auvernier,Tranchée Tram,settlement,settlement lakeshore,dendro & 14-C,neolithic,LN,Lattrigen,202828,557229
108,66,33/406.0 \,CH,Vaud,Avenches,Eau-Noire,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,195953,570652
109,66,33/406.0 \,CH,Vaud,Avenches,Eau-Noire,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,195242,570461
110,67,33/415.2 \,CH,Vaud,Avenches,En Chaplix,settlement,settlement mineral soil,14-C,bronze age,LBA,HaB,194470,570924
111,67,33/415.2 \,CH,Vaud,Avenches,En Chaplix,settlement,settlement mineral soil,typological,neolithic,,,194447,571284
112,68,,CH,Vaud,Avenches,Insula 13,single find,single find,typological,neolithic,UN,Cortaillod,193313,570468
113,69,33/300.1 \,CH,Vaud,Avenches,undef.,single find,single find,typological,prehistoric,,,193213,570464
114,70,33/300.8 \,CH,Vaud,Avenches,Derrière la Tour,single find,single find STONE AXE,typological,neolithic,,,192788,570756
115,71,33/300.6 \,CH,Vaud,Avenches,undef.,single find,stray findings (>1),typological,bronze age,,,193401,570324
116,72,33/300.9 \,CH,Vaud,Avenches,Théâtre romain,single find,stray findings (>1),typological,bronze age,,,192322,571278
117,73,,CH,Vaud,Avenches,Environs,single find,stray findings (>1),typological,bronze age,LBA,,193309,570188
118,79,232(A)1,CH,Aargau,Zurzach,Schlosspark/Himmelrych,burial place,grave single,14-C,bronze age,EBA,,272038,664652
119,80,,CH,Aargau,Baden,Kappelerhof,burial place,grave single,14-C,neolithic,EN,GBK,259744,664496
120,82,,CH,Bern,Ballmoos,Umgebung,single find,single find,typological,bronze age,MBA,BzB,204213,594660
121,84,,CH,Bern,Bäriswil,Kiegsholz (Chriegsholz),burial place,barrow single,typological,bronze age,MBA,,208480,607863
122,85,,CH,Fribourg,Bas-Vully,Bibera 2,settlement,settlement lakeshore,typological,neolithic,LN,Lattrigen,202570,574937
123,85,,CH,Fribourg,Bas-Vully,Bibera 2,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,202882,575544
124,86,,CH,Fribourg,Bas-Vully,Le Cugnet I,settlement,settlement lakeshore,typological,neolithic,MN,,203121,574091
125,86,,CH,Fribourg,Bas-Vully,Le Cugnet I,settlement,settlement lakeshore,14-C,neolithic,EN,AC/SK,203468,574485
126,87,,CH,Fribourg,Bas-Vully,Sugiez-Gare,settlement,settlement lakeshore,dendro,neolithic,UN,Cortaillod,201582,576085
127,87,,CH,Fribourg,Bas-Vully,Sugiez-Gare,settlement,settlement lakeshore,typological,bronze age,EBA,,201991,576654
128,97,258/303.4 \,CH,Vaud,Baulmes,Abris de la Cure,settlement,settlement abri/cave,typological,bronze age,MBA,,183755,530630
129,97,258/303.4 \,CH,Vaud,Baulmes,Abris de la Cure,settlement,settlement abri/cave,typological,neolithic,ON,La Hougette,183570,530583
130,97,258/303.4 \,CH,Vaud,Baulmes,Abris de la Cure,settlement,settlement abri/cave,typological,neolithic,UN,Cortaillod,183657,530381
131,97,258/303.4 \,CH,Vaud,Baulmes,Abris de la Cure,settlement,settlement abri/cave,typological,neolithic,UN,Cortaillod,183599,530493
132,97,258/303.4 \,CH,Vaud,Baulmes,Abris de la Cure,settlement,settlement abri/cave,typological,neolithic,UN,Cortaillod,182996,530476
133,97,258/303.4 \,CH,Vaud,Baulmes,Abris de la Cure,settlement,settlement abri/cave,typological,neolithic,MN,,183054,530072
134,98,258/318.0 \,CH,Vaud,Baulmes,Aiguilles de Baulmes,depot,depot (>1),typological,bronze age,,,184259,529015
135,99,258/300.7 \,CH,Vaud,Baulmes,Bas du Village,single find,single find,typological,bronze age,,,183070,530768
136,100,258/303.2 \,CH,Vaud,Baulmes,Mistredame,burial place,grave abri/cave,typological,bronze age,MBA,,183594,530050
137,101,258/305.0 \,CH,Vaud,Baulmes,Petit Bois des Trois Villes,burial place,barrow group (>1<10),typological,bronze age,,,183377,531571
138,102,258/306.0 \,CH,Vaud,Baulmes,Sepey,burial place,barrow single,typological,bronze age,,,183618,531735
139,103,258/310.0 \,CH,Vaud,Baulmes,Praz Terreaux,settlement,settlement lakeshore,typological,bronze age,,,181823,530567
140,104,,CH,Vaud,Baulmes,Au Signal,burial place,grave single,typological,bronze age,LBA,BzD,183199,530686
141,105,259/308.1; 259/308.2 \,CH,Vaud,Bavois,En Raillon,settlement,settlement mineral soil,14-C,bronze age,LBA,HaA,171798,533974
142,105,259/308.1; 259/308.2 \,CH,Vaud,Bavois,En Raillon,settlement,settlement mineral soil,typological,bronze age,LBA,HaA,171591,534348
143,105,259/308.1; 259/308.2 \,CH,Vaud,Bavois,En Raillon,settlement,settlement mineral soil,14-C,bronze age,LBA,HaA,171322,534288
144,105,259/308.1; 259/308.2 \,CH,Vaud,Bavois,En Raillon,settlement,settlement mineral soil,14-C,bronze age,LBA,BzD,171353,534189
145,105,259/308.1; 259/308.2 \,CH,Vaud,Bavois,En Raillon,settlement,settlement mineral soil,14-C,bronze age,EBA,BzA2,171042,534818
146,105,259/308.1; 259/308.2 \,CH,Vaud,Bavois,En Raillon,settlement,settlement mineral soil,14-C,neolithic,EN,GBK,171372,534259
147,106,259/301.0 \,CH,Vaud,Bavois,Le Cristallin,settlement,settlement mineral soil,typological,bronze age,,,169219,533078
148,107,225/300.2 \,CH,Vaud,Begnins,undef.,single find,single find STONE AXE,typological,neolithic,,,145063,508454
149,108,97(A)17,CH,Aargau,Beinwil am See,Ägelmoos,settlement,settlement lakeshore,typological,neolithic,,,236980,658638
150,108,97(A)17,CH,Aargau,Beinwil am See,Ägelmoos,settlement,settlement lakeshore,typological,bronze age,LBA,,237280,658759
151,108,97(A)17,CH,Aargau,Beinwil am See,Ägelmoos,settlement,settlement lakeshore,typological,bronze age,MBA,,237138,658841
152,108,97(A)17,CH,Aargau,Beinwil am See,Ägelmoos,settlement,settlement lakeshore,typological,bronze age,EBA,,237337,658887
153,109,,CH,Genève,Bellevue,Bellevue,settlement,settlement lakeshore,typological,bronze age,LBA,,124423,502072
154,109,,CH,Genève,Bellevue,Bellevue,settlement,settlement lakeshore,typological,bronze age,EBA,,124370,502188
155,109,,CH,Genève,Bellevue,Bellevue,settlement,settlement lakeshore,typological,neolithic,LN,Luescherz,124312,501660
156,109,,CH,Genève,Bellevue,Bellevue,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,123851,502023
157,110,,CH,Genève,Bellevue,undef.,single find,single find,typological,bronze age,LBA,BzD|HaA,118417,500215
158,111,127/301.0 \,CH,Vaud,Belmont-sur-Lausanne,Corsy,settlement,settlement mineral soil,typological,bronze age,,,152569,542589
159,112,394.001. \ 11089,CH,Bern,Belp,Aebnit,burial place,grave single,typological,bronze age,LBA,BzD,194342,603510
160,113,394.006. \ 11088,CH,Bern,Belp,Bützacher/Holiebi,burial place,grave group (>1<10),typological,bronze age,LBA,BzD|HaA,193542,605985
161,115,038.404. \ 12603,CH,Bern,Bern,Kirchenfeld,burial place,grave single,typological,bronze age,LBA,BzD|HaA,198862,601463
162,118,,CH,Neuchâtel,Bevaix,Bataillard,settlement,settlement mineral soil,typological,bronze age,MBA,,197586,552755
163,118,,CH,Neuchâtel,Bevaix,Bataillard,settlement,settlement mineral soil,14-C,neolithic,UN,Cortaillod,198042,552869
164,118,,CH,Neuchâtel,Bevaix,Bataillard,settlement,settlement mineral soil,typological,neolithic,EN,GBK,197934,552410
165,119,,CH,Neuchâtel,Bevaix,Chauvigny,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,196949,552720
166,120,,CH,Neuchâtel,Bevaix,Clairière de Vauroux,ritual place,menhir single,NA,prehistoric,,,197504,551416
167,121,,CH,Neuchâtel,Bevaix,L'Abbaye 1,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,197966,553828
168,122,,CH,Neuchâtel,Bevaix,L'Abbaye 2,settlement,settlement lakeshore,dendro,bronze age,LBA,HaA|B,198387,554039
169,123,,CH,Neuchâtel,Bevaix,La Praitie,settlement,settlement mineral soil,14-C,bronze age,LBA,HaA|B,197813,553131
170,124,,CH,Neuchâtel,Bevaix,Le Désert,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,197906,554233
171,125,,CH,Neuchâtel,Bevaix,Le Grand Pré,settlement,settlement mineral soil,14-C,bronze age,EBA,BzA2,198151,551997
172,125,,CH,Neuchâtel,Bevaix,Le Grand Pré,settlement,settlement mineral soil,typological,neolithic,EN,GBK,197457,551715
173,126,,CH,Neuchâtel,Bevaix,Le Moulin,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,197881,553543
174,127,,CH,Neuchâtel,Bevaix,Le Port 1,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,197406,552864
175,128,,CH,Neuchâtel,Bevaix,Le Port 2,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,197601,553276
176,129,,CH,Neuchâtel,Bevaix,Le Port 3,settlement,settlement lakeshore,typological,neolithic,,,197438,553346
177,130,,CH,Neuchâtel,Bevaix,Les Pâquiers,settlement,settlement mineral soil,typological,bronze age,LBA,HaA|B,198452,553733
178,130,,CH,Neuchâtel,Bevaix,Les Pâquiers,settlement,settlement mineral soil,typological,neolithic,EN,GBK,198182,553758
179,130,,CH,Neuchâtel,Bevaix,Les Pâquiers,settlement,settlement mineral soil,14-C,neolithic,LN,Lattrigen,198718,553963
180,130,,CH,Neuchâtel,Bevaix,Les Pâquiers,settlement,settlement mineral soil,14-C,neolithic,UN,Cortaillod,198592,553991
181,130,,CH,Neuchâtel,Bevaix,Les Pâquiers,settlement,settlement mineral soil,14-C,neolithic,EN,GBK,198566,553542
182,131,,CH,Neuchâtel,Bevaix,Les Vaux,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,197942,554159
183,131,,CH,Neuchâtel,Bevaix,Les Vaux,settlement,settlement lakeshore,typological,neolithic,,,198003,554312
184,132,,CH,Neuchâtel,Bevaix,Station du Châtelard,settlement,settlement lakeshore,typological,bronze age,EBA,BzA2,197416,553924
185,132,,CH,Neuchâtel,Bevaix,Station du Châtelard,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,197955,553672
186,132,,CH,Neuchâtel,Bevaix,Station du Châtelard,settlement,settlement lakeshore,typological,neolithic,LN,Luescherz,197467,554294
187,132,,CH,Neuchâtel,Bevaix,Station du Châtelard,settlement,settlement lakeshore,typological,neolithic,LN,Horgen,198038,554217
188,132,,CH,Neuchâtel,Bevaix,Station du Châtelard,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,198022,553543
189,133,,CH,Neuchâtel,Bevaix,Sud,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,198151,553876
190,134,,CH,Neuchâtel,Bevaix,Treytel,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,197357,552824
191,134,,CH,Neuchâtel,Bevaix,Treytel,settlement,settlement lakeshore,typological,neolithic,LN,Lattrigen,196615,552517
192,134,,CH,Neuchâtel,Bevaix,Treytel,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,197219,552755
193,134,,CH,Neuchâtel,Bevaix,Treytel,settlement,settlement lakeshore,typological,neolithic,LN,Luescherz,196696,552633
194,134,,CH,Neuchâtel,Bevaix,Treytel,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,196806,552856
195,135,,CH,Neuchâtel,Bevaix,Treytel; à Sugiez/Menhir,ritual place,menhir alignment (>1),14-C,bronze age,LBA,,197035,552364
196,135,,CH,Neuchâtel,Bevaix,Treytel; à Sugiez/Menhir,ritual place,menhir alignment (>1),14-C,neolithic,EN,GBK,197068,552430
197,135,,CH,Neuchâtel,Bevaix,Treytel; à Sugiez/Menhir,ritual place,menhir alignment (>1),14-C,neolithic,UN,Cortaillod,197157,552681
198,136,2/309.1 \,CH,Vaud,Bex,Les Mûriers,settlement,settlement abri/cave,14-C,bronze age,,,121256,567267
199,136,2/309.1 \,CH,Vaud,Bex,Les Mûriers,settlement,settlement abri/cave,14-C,bronze age,LBA,BzD,121467,567611
200,136,2/309.1 \,CH,Vaud,Bex,Les Mûriers,settlement,settlement abri/cave,typological,neolithic,,,121946,566785
201,137,188/305.0 \,CH,Vaud,Bex,undef.,single find,single find STONE AXE,typological,neolithic,,,123112,567434
202,138,2/300.16 \,CH,Vaud,Bex,undef.,single find,stray findings (>1),typological,bronze age,,,122911,567638
203,139,2/300.14 \,CH,Vaud,Bex,Entre l'Allex et Bex,single find,single find,typological,bronze age,,,122649,568093
204,140,2/300.15 \,CH,Vaud,Bex,undef.,single find,single find,typological,bronze age,,,122386,567734
205,141,2/299.2 \,CH,Vaud,Bex,undef.,burial place,grave single,typological,bronze age,MBA,BzB,122708,567719
206,142,2/310.1 \,CH,Vaud,Bex,Luissel,settlement,settlement lakeshore,typological,bronze age,,,121098,567976
207,143,2/300.3 \,CH,Vaud,Bex,Au Sud de la Tour de Duin,single find,stray findings (>1),typological,bronze age,,,121498,568491
208,144,2/316.0 \,CH,Vaud,Bex,Aux Ouffes,burial place,grave group (>1<10),typological,bronze age,EBA,BzA2,123234,568893
209,144,2/316.0 \,CH,Vaud,Bex,Aux Ouffes,burial place,grave group (>1<10),typological,bronze age,LBA,HaB,123168,568674
210,145,2/318.1 \,CH,Vaud,Bex,Le Bévieux,single find,stray findings (>1),typological,bronze age,,,124221,569456
211,146,2/310.2 \,CH,Vaud,Bex,Luissel,burial place,grave single,typological,bronze age,,,121063,568262
212,147,2/300.14 \,CH,Vaud,Bex,undef.,single find,single find,typological,prehistoric,,,122894,567174
213,148,2/299.6 \,CH,Vaud,Bex,undef.,burial place,grave single,typological,bronze age,,,123199,567287
214,149,2/322.0 \,CH,Vaud,Bex,Vers la Prairie; en Sous-Vent,burial place,grave single,typological,bronze age,,,121201,566661
